,$\beta$,$\omega$,$d_P$,$E(0)$
65,1.2495100205756127e-08,0.004902559473146059,0.06203597631226408,1210.6152519901118
66,1.2346591389892298e-08,0.004819471546588773,0.06194946423716183,1253.7150653547671
67,1.2390890344232363e-08,0.004833556638608007,0.06277067693850008,1245.3724586205938
68,1.2321980895307767e-08,0.004806746482950163,0.06180865117137778,1261.6055779464866
69,1.250122370702603e-08,0.004927900119245893,0.061521756780313255,1222.4331352782676
70,1.2402728505945157e-08,0.004857371266347441,0.06445079384745923,1261.8175467036208
71,1.2228427871613148e-08,0.004746787465152419,0.06155915250465336,1283.3936028147405
72,1.2418433636435149e-08,0.0048449416851674134,0.06327387166141267,1234.2059651860588
73,1.2422974816583496e-08,0.004880663955156807,0.06417179937477414,1265.0470064141862
74,1.2512328479364374e-08,0.004916258032677609,0.06464689214196491,1233.5740565036153
75,1.2510515844184201e-08,0.004880754969226686,0.06424504457739418,1198.9707242383404
76,1.2367675674248545e-08,0.0048251915682232475,0.06116274721431718,1235.6087338556738
77,1.2376145664200724e-08,0.004837475048342134,0.06472854328615466,1267.749996260986
78,1.2563483161649235e-08,0.004946540321703276,0.06144926777600087,1185.137367374279
79,1.2504311997346268e-08,0.0049095036230900144,0.06262545326215768,1217.1785744453937
80,1.2145394300211067e-08,0.004709965088792795,0.06285246680327106,1325.2891093306546
81,1.232388216940653e-08,0.0048139432373166735,0.06257875043867715,1268.2039954816976
82,1.2544434814344603e-08,0.004932823622952476,0.06274210888210889,1198.5788251392485
83,1.2449068554143127e-08,0.004881905563352828,0.06415655834821243,1248.5525977019408
84,1.2295237659408882e-08,0.004767501645028689,0.06381696794300004,1267.9004540773542
85,1.2553016855745173e-08,0.004955361002956902,0.06320567296412624,1216.6870454624873
86,1.2280529495062076e-08,0.004775397115123805,0.06424229383859532,1292.994053893341
87,1.244665492363469e-08,0.004892331990357373,0.0635946122543577,1245.9224719941258
88,1.2341880348048234e-08,0.004805675605303211,0.06155622031894683,1232.20247122913
89,1.2620293319948836e-08,0.004973385294338586,0.062179144593561726,1176.573882464986
90,1.2393269736669139e-08,0.004836215389883871,0.06206917788667221,1230.578499985267
91,1.2408148247809453e-08,0.004819696540109328,0.0630245172866711,1224.7829403604599
92,1.2385098909705133e-08,0.004836048524070621,0.06355585216828619,1249.2936817617094
93,1.219455648348424e-08,0.004725182253243864,0.061691617485031075,1299.1663800847623
94,1.2375806794779824e-08,0.004831768406613783,0.06177946877331332,1235.306261721587
95,1.2422966603392371e-08,0.004873104406142196,0.062267698623055354,1243.9623832901643
96,1.2449736657258404e-08,0.004883248411208094,0.06441275534172192,1243.1352590917877
97,1.2543222827671915e-08,0.004953977122384342,0.060941005443838805,1206.9498793981443
98,1.227482140619772e-08,0.004783348652074581,0.06358385918854209,1290.671127673243
99,1.239148860294979e-08,0.004835347615805034,0.06104137677682377,1215.33186647712
100,1.2566183104827342e-08,0.004935636049919813,0.06329437443921226,1193.527503147949
101,1.2396598423359118e-08,0.004848579688582559,0.06265069685373734,1239.8721088382401
102,1.244072151890447e-08,0.0048461278434274195,0.06234534686479145,1216.677297693111
103,1.2311492430352544e-08,0.004806549134476428,0.06405697879678028,1294.2493744492604
104,1.2371991910822023e-08,0.004835503456223891,0.061603390284100466,1235.4171481593562
105,1.2412886320623117e-08,0.004849073747955211,0.06283761676671955,1229.625679471968
106,1.2530202008540286e-08,0.0049124350656924495,0.06315680891218804,1203.9496269899382
107,1.2413381497536913e-08,0.0048587544374993265,0.06171053376799719,1228.046669721098
108,1.2273116570288687e-08,0.004770889189429302,0.06111539022180508,1262.7014119654468
109,1.2409354304896415e-08,0.0048661119461834166,0.06442431332499926,1268.0280168984145
110,1.2295963246350764e-08,0.004791366574213447,0.06492226855345337,1298.482742290682
111,1.2358611709892295e-08,0.0048239287424695,0.06466086640533764,1279.878708942266
112,1.2472614166125852e-08,0.004900679329072411,0.06159717643541726,1224.1409173576692
113,1.231460765744865e-08,0.004760723199692953,0.063441079744215,1246.123238999547
114,1.2408703185094526e-08,0.004851597282431779,0.061836855875228185,1228.028141085598
115,1.2349993618322498e-08,0.004834951077042393,0.061411687474029,1253.5200302377598
116,1.2447108455173576e-08,0.004887218785916451,0.0643441643195553,1260.9106965674873
117,1.2301125042310626e-08,0.004804176291659191,0.06249947090124984,1282.4390686102756
118,1.2333320449174539e-08,0.0047951079037468845,0.06238097414135516,1254.1337148581495
119,1.2309688534542818e-08,0.004798840748887835,0.06249716640760744,1269.1949607850406
120,1.2479076055362384e-08,0.004912471483024809,0.06286695671141554,1238.102652412624
121,1.2373222764154528e-08,0.0048508428011614785,0.06042730810565966,1242.4558618600274
122,1.2373510490152403e-08,0.004822290538125048,0.06379640512545999,1251.1372053031243
123,1.2576738134458845e-08,0.004954721822697115,0.0607173083664416,1177.5827923049983
124,1.2526699104548562e-08,0.004936232318401038,0.06227574815376338,1210.6442466525577
